Zugstrecke;Teilzugname;Ist-Abfahrt;Ist-Ankunft;Ist-Abfahrt gerundet;Ist-Ankunft gerundet;Ist-Abfahrt abgerundet;Ist-Ankunft aufgerundet;Haltezeiten;v;vReal;vMax;vMaxZugsicherung;vMaxStrecke;vMaxBrH;Zustand;DynStatus;Infrastrukturelement;Referenzelemente;Betriebsstelle;Betriebsstelle Langname;Relative Abfahrtzeit;Soll-Abfahrt;VMaxZug;Zuschlag;Regelzuschlag;SonderZuschlag;BauZuschlag;Laenge;Masse;Zugbeeinflussung;Steigend;Entfernt;Verschoben;Besonderheit;Bogen;Neigung;Tunnelquerschnitt;Fahrweg;a;Zugkraft;WFZ;WTFZ;WStrecke;Gesamtzuschlag;Verspätungszuschlag;Zuschlagabbau;Triebfahrzeuge;Wagenanzahl;Zugfamilienname;Streckennummer;Gleis;Wirkt;Einzelzugname;ATO;Ist-Ankunft ohne Tag;Ist-Abfahrt ohne Tag;Haltezeit;Mindesthaltezeit;No-Stopping Zone;ETCS-Kurve für Belegung;Zwischenweichenabschnitt;Ist-Abfahrt in Sekunden;Ist-Ankunft in Sekunden
0;NV langsam Ri 1_L1 FS;0/00:30:00;0/00:25:00;00:30;00:25;00:29;00:25;00:05:00/00:01:00; 0,00; 0,00;140,00;40,00;140,00;-;HVerk;-;K A 0.375 H 2 Pv s Halteplatz, Steigend, Personenzug, l=420.0m, Rechts, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(135)=<K A|0,510/+0|HS|N2|0>  Anfang(0)=<K A|0,375/+0|HP|H 2 Pv s|0>|1  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;00:30:00;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2463,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;0;H 2 Pv s;True;NV langsam Ri 1_L1 FS;False;00:25:00;00:30:00;5,00;1,00;False;-;Weiche W05 S - Weiche W07 S (0);1800;1500
0;NV langsam Ri 1_L1 FS;0/00:30:00;0/00:30:00;00:30;00:30;00:30;00:30;-; 0,00; 0,00;140,00;40,00;140,00;-;V;-;K A 0.375 H 2 Gv s Halteplatz, Steigend, Güterzug, l=740.0m, Ohne, sEoA=0m, sSVL=0m, rs=-1km/h, Halteinfahrt; Ref(135)=<K A|0,510/+0|HS|N2|0>  Anfang(135)=<K A|0,510/+0|HS|N2|0>  Ende(205)=<K A|0,580/+0|ZSS||0> ;K A;Knoten A;0/00:00:00;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2463,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;0;;True;NV langsam Ri 1_L1 FS;False;00:30:00;00:30:00;-;-;False;-;Weiche W05 S - Weiche W07 S (0);1800;1800
1;NV langsam Ri 1_L1 FS;0/00:30:01;0/00:30:01;00:30;00:30;00:30;00:30;-; 5,00; 4,85;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:01;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,111000;320400,0;  0,0;2668,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:01;00:30:01;-;-;False;-;-;1801;1801
4;NV langsam Ri 1_L1 FS;0/00:30:02;0/00:30:02;00:30;00:30;00:30;00:30;-;10,00; 9,71;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:02;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,110000;320400,0;  0,0;2913,9;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:02;00:30:02;-;-;False;-;-;1802;1802
8;NV langsam Ri 1_L1 FS;0/00:30:04;0/00:30:04;00:30;00:30;00:30;00:30;-;15,00;14,56;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:04;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,108000;320400,0;  0,0;3201,0;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:04;00:30:04;-;-;False;-;-;1804;1804
14;NV langsam Ri 1_L1 FS;0/00:30:05;0/00:30:05;00:30;00:30;00:30;00:30;-;20,00;19,42;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:05;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,107000;320400,0;  0,0;3529,5;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:05;00:30:05;-;-;False;-;-;1805;1805
22;NV langsam Ri 1_L1 FS;0/00:30:06;0/00:30:06;00:30;00:30;00:30;00:30;-;25,00;24,27;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:06;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,106000;320400,0;  0,0;3899,3;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:06;00:30:06;-;-;False;-;-;1806;1806
25;NV langsam Ri 1_L1 FS;0/00:30:07;0/00:30:07;00:30;00:30;00:30;00:30;-;26,66;25,88;140,00;40,00;140,00;-;V;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:06;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,105000;320400,0;  0,0;4031,3;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:07;00:30:07;-;-;False;-;-;1807;1807
35;NV langsam Ri 1_L1 FS;0/00:30:08;0/00:30:08;00:30;00:30;00:30;00:30;-;31,66;30,74;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:08;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,104000;320400,0;  0,0;4456,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:08;00:30:08;-;-;False;-;-;1808;1808
47;NV langsam Ri 1_L1 FS;0/00:30:09;0/00:30:09;00:30;00:30;00:30;00:30;-;36,66;35,59;140,00;40,00;140,00;-;V;-;;;K A;Knoten A;0/00:00:09;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,102000;320400,0;  0,0;4922,6;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:09;00:30:09;-;-;False;-;-;1809;1809
50;NV langsam Ri 1_L1 FS;0/00:30:10;0/00:30:10;00:30;00:30;00:30;00:30;-;37,81;36,71;140,00;40,00;140,00;-;V;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:09;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,102000;320400,0;  0,0;5035,7;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:10;00:30:10;-;-;False;-;-;1810;1810
55;NV langsam Ri 1_L1 FS;0/00:30:10;0/00:30:10;00:30;00:30;00:30;00:30;-;39,65;38,50;140,00;40,00;140,00;-;V;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:10;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;1,102000;320400,0;  0,0;5221,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:10;00:30:10;-;-;False;-;-;1810;1810
56;NV langsam Ri 1_L1 FS;0/00:30:10;0/00:30:10;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;;;K A;Knoten A;0/00:00:10;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:10;00:30:10;-;-;False;-;-;1810;1810
60;NV langsam Ri 1_L1 FS;0/00:30:10;0/00:30:10;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:10;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:10;00:30:10;-;-;False;-;-;1810;1810
65;NV langsam Ri 1_L1 FS;0/00:30:11;0/00:30:11;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:11;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:11;00:30:11;-;-;False;-;-;1811;1811
70;NV langsam Ri 1_L1 FS;0/00:30:11;0/00:30:11;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:11;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:11;00:30:11;-;-;False;-;-;1811;1811
75;NV langsam Ri 1_L1 FS;0/00:30:12;0/00:30:12;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:12;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:12;00:30:12;-;-;False;-;-;1812;1812
80;NV langsam Ri 1_L1 FS;0/00:30:12;0/00:30:12;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:12;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:12;00:30:12;-;-;False;-;-;1812;1812
85;NV langsam Ri 1_L1 FS;0/00:30:13;0/00:30:13;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:12;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:13;00:30:13;-;-;False;-;-;1813;1813
90;NV langsam Ri 1_L1 FS;0/00:30:13;0/00:30:13;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:13;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:13;00:30:13;-;-;False;-;-;1813;1813
95;NV langsam Ri 1_L1 FS;0/00:30:14;0/00:30:14;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:13;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:14;00:30:14;-;-;False;-;-;1814;1814
100;NV langsam Ri 1_L1 FS;0/00:30:14;0/00:30:14;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:14;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:14;00:30:14;-;-;False;-;-;1814;1814
102;NV langsam Ri 1_L1 FS;0/00:30:14;0/00:30:14;00:30;00:30;00:30;00:30;-;40,00;38,83;140,00;40,00;140,00;-;K;-;ETCS-Stützstelle;;K A;Knoten A;0/00:00:14;-;140,00;1,0000;1,030;-;-;128,2;273,1;ETCS L1;True;False;0;-; 0,0; 0,0; 0,0;K A: A - Gl 2 - RG;0,000000;320400,0;  0,0;5257,2;  0,0;1,030;1,00;1,00;"80 8442-5.2;80 8442-4.25;";0;NV langsam Ri 1_L1 FS;;;False;NV langsam Ri 1_L1 FS;False;00:30:14;00:30:14;-;-;False;-;-;1814;1814
